"Industry Field","Position Types","Work Authorizations","Organization"
"Logistics Technology","Full-Time","U.S. Citizen","AuptiX"
"Computer Science","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  International Student Visa","Clover Network"
"Government","Full-Time","U.S. Citizen","SSC PACIFIC"
"Consumer Products","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  International Student Visa","Amazon"
"Software Engineering","Part-Time  Internship","U.S. Citizen  U.S. Permanent Resident  International Student Visa","Reflexion Health"
"Aerospace, Defense","Full-Time  Internship","U.S. Citizen","Applied Composites (SDC)"
"Enterprise Software","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Atlassian"
"Medical Device Technology","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Masimo"
"Social Media","Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Downvibe"
"Tech","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Salesforce"
"Engineering","Internship","U.S. Citizen","Western Digital"
"IT","Full-Time","U.S. Citizen","Sourceability"
"Enterprise Software","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Atlassian"
"Engineering","Full-Time  Internship","U.S. Permanent Resident","Quartus Engineering Incorporated"
"Engineering","Internship","U.S. Citizen","Western Digital"
"Government, Aerospace","Full-Time","U.S. Citizen","Air Force Test Center  Air Force Civilian Service"
"Software Engineering","Full-Time  Part-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Accel Robotics"
"Life Sciences, Tech, Engineering, Healthcare","Full-Time Internship","U.S. Citizen","snapIoT"
"Telecommunications","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  International Student Visa","Hughes Network Systems"
"Software Engineering","Full-Time","U.S. Citizen","Brain Corporation"
"Enterprise Software","Internship","U.S. Citizen","ServiceNow"
"Software Engineering","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Mitchell International"
"System Engineering,  Software Engineering,  Cybersecurity  Defense, Aerospace","Full-Time  Internship","U.S. Citizen","Integrity Applications Incorporated"
"Government,  Military Products","Full-Time  Part-Time  Internship","U.S. Citizen","L3 Technologies"
"Software Engineering","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Veeva Systems  Inc."
"Engineering","Full-Time","U.S. Citizen","Los Angeles Department of Water and Power"
"IT","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","IBM"
"Tech","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Bentley Systems"
"Tech and Media","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Yahoo"
"Water","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Frontier Water Systems LLC."
"Aeronautical, Defense","Full-Time  Internship","U.S. Citizen","General Atomics"
"Consumer Products","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Amazon Lab126"
"Semiconductor, High Technology","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  International Student Visa","pSemi"
"Defense","Full-Time  Internship","U.S. Citizen","Leidos"
"Defense, Transportation","Full-Time  Part-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Cubic Corporation"
"Engineering","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  International Student Visa","Viasat"
"Software Engineering","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Appfolio"
"Tech","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Webroot"
"Utility","Full-Time  Internship","U.S. Citizen","San Diego Gas & Electric"
"Tech, Business","Full-Time","U.S. Citizen  U.S. Permanent Resident","Oracle"
"Education","Full-Time  Part-Time  Internship","U.S. Citizen  U.S. Permanent Resident","iD Tech"
"Software Engineering","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Seismic Software"
"Software Engineering","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Supplyframe"
"Semiconductors, Software Engineering","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident  DACA/Other  International Student Visa","Synopsys"
"Software Engineering","Full-Time","U.S. Citizen","Moebius Solutions  Inc."
"Entertainment","Internship","U.S. Citizen  U.S. Permanent Resident  International Student Visa","PlayStation"
"Manufacturing","Full-Time  Internship","U.S. Citizen  U.S. Permanent Resident","Hunter Industries"
"Medical, Medical Device Technology", "Full-Time Internship","U.S. Citizen  U.S. Permanent Resident","Tandem Diabetes Care"
"Biotechnology","Full-Time  Part-Time Internship", "U.S. Citizen  U.S. Permanent Resident  International Student Visa", "Human Longevity"